月份,監測項目,監測站,測站編號,有效測定日數(日),測定時數(時),月平均值(ppb),一小時值超過0.12ppm時數(時),一小時值超過0.12ppm時數(%),八小時平均值超過0.06ppm之次數(次),八小時平均值超過0.06ppm之次數(%),一小時值之最高值(ppb),一小時值之最高值(發生日),一小時值之最高值(發生時),每日一小時值最高值之月平均值(ppb)
104年6月,臭氧,南港站,2534116A0005,27,651,23.67,0,0,3,0.5,96.64,25,11,57.57
104年6月,臭氧,內湖站,2534216A0011,30,685,22.34,0,0,0,0,96.29,25,11,58.12
104年6月,臭氧,木柵站,2534016A0012,30,682,26.15,1,0.1,18,2.6,124.5,10,11,71.06
104年6月,臭氧,承德站,2534316T0025,30,675,17.73,0,0,0,0,107.4,25,11,39.53
104年6月,臭氧,中北站,2533916T0022,30,688,15.9,0,0,0,0,58.8,14,10,41.45
104年7月,臭氧,中正站,2533616A0015,31,706,26.39,2,0.3,20,2.8,134.3,22,12,66.03
104年7月,臭氧,大直站,2533916A0007,31,691,24.91,0,0,11,1.6,110.9,22,12,58.64
104年7月,臭氧,信義站,2534516A0004,31,707,25.57,0,0,10,1.4,109.7,31,12,61.6
104年7月,臭氧,南港站,2534116A0005,27,642,24.48,1,0.2,8,1.2,123.5,31,12,57.39
104年7月,臭氧,內湖站,2534216A0011,30,710,22.1,1,0.1,8,1.1,122.8,31,12,60.94
104年7月,臭氧,木柵站,2534016A0012,31,703,27.95,1,0.1,32,4.6,129.2,17,11,71.51
104年7月,臭氧,承德站,2534316T0025,29,678,22.88,0,0,0,0,106.5,22,12,51.65
104年7月,臭氧,中北站,2533916T0022,31,708,16.83,0,0,0,0,79.8,22,12,45.09
104年8月,臭氧,中正站,2533616A0015,30,694,20.35,0,0,15,2.2,105.6,3,11,48.91
104年8月,臭氧,大直站,2533916A0007,26,638,20.88,0,0,2,0.3,98.8,11,12,42.22
104年8月,臭氧,信義站,2534516A0004,27,602,19.58,0,0,13,2.2,109.5,10,12,44.98
104年8月,臭氧,南港站,2534116A0005,27,650,20.27,0,0,9,1.4,89.6,4,12,45.75
104年8月,臭氧,內湖站,2534216A0011,29,682,20.84,0,0,10,1.5,106.7,24,6,52.91
104年8月,臭氧,木柵站,2534016A0012,30,687,22.58,2,0.3,38,5.5,137.7,4,13,59.19
104年8月,臭氧,承德站,2534316T0025,29,685,26.56,0,0,0,0,110.3,10,15,46.43
104年8月,臭氧,中北站,2533916T0022,29,681,12.98,0,0,0,0,65.4,11,12,31.57
104年9月,臭氧,中正站,2533616A0015,27,638,34.16,0,0,20,3.1,94,23,11,60.37
104年9月,臭氧,大直站,2533916A0007,29,660,31.04,0,0,4,0.6,94.7,22,12,52.06
104年9月,臭氧,信義站,2534516A0004,27,639,24.85,0,0,0,0,85.8,22,12,43.43
104年9月,臭氧,南港站,2534116A0005,22,547,34.91,0,0,32,5.9,112.6,23,11,60.89
104年9月,臭氧,內湖站,2534216A0011,26,659,12.97,0,0,0,0,57.2,22,11,26.2
104年9月,臭氧,木柵站,2534016A0012,28,664,32.34,2,0.3,22,3.3,133.4,22,12,66.22
104年9月,臭氧,承德站,2534316T0025,28,650,25.61,0,0,1,0.2,88.1,1,12,45.45
104年9月,臭氧,中北站,2533916T0022,30,668,20.03,0,0,0,0,73.7,22,12,40.16
104年10月,臭氧,中正站,2533616A0015,31,696,34.17,1,0.1,39,5.6,126.3,29,13,53.09
